ITEM#,DATE,CRS_TZ,WK#,COURSE,ASSIGNMENT NAME,DESCRIPTION
1,1/13/2024,,1,CAS502,A1: P1: Read Articles ,Statement that stood out 
2,1/13/2024,,1,CAS502,A1: P1: Find Statement,Write why interestingÂ…answer questions
3,1/13/2024,,1,CAS502,A1: P2: Watch a Video,Two recs and what could have done differently
4,1/15/2024,,2,CAS502,WK2: Automated Ideas,Brainstorm what to Automate
5,1/15/2024,,2,CAS502,WK2: Team Name Title,Group Project 1
6,1/18/2024,,2,CAS502,WK2 A2: FinPrj Description,"Challenges, and communication plan. Computational task"
7,1/20/2024,,2,ORG7074,WK2: Discussion,Post PDF Brief Overview of topic and article
8,1/20/2024,,2,ORG7074,WK2: Discussion Response,Peer Response 1
9,1/20/2024,,2,ORG7074,WK2: Discussion Response ,Peer Response 2
10,1/22/2024,,2,RES3500,WK2: Discussion 2,Self-Assessment of Writing
13,1/22/2024,,2,RES3500,WK2: Practice Acty 2,Prospectus -the Introduction
11,1/23/2024,,2,RES3500,WK2: Discussion Response,Peer Response 1
12,1/23/2024,,2,RES3500,WK2: Discussion Response ,Peer Response 2
14,1/25/2024,,3,CAS502,A3: GitHub Repository ,"Put project material, create issues, commit files"
15,1/28/2024,,3,ORG7074,WK3: Discussion,Innovation systems thinking and circular
16,1/29/2024,,3,RES3500,WK3: D3 Videoconference,Introduction funnel
17,1/29/2024,,3,RES3500,WK3: Practice Activity 3,Problem Background pt1 Rev of Lit Metrix document
18,1/30/2024,,3,ORG7074,WK3: Discussion Response,Peer Respond
19,2/1/2024,,3,CAS502,A4: Project Step 4,"Implementation Plan: Lang., packages, Code, progress"
20,2/2/2024,,4,CAS502,WK4: Assignment 4,Dependencies and Implementation
21,2/2/2024,,4,CAS502,WK4: Discussion  Question,Issues when Reusing Software
22,2/2/2024,,4,CAS502,WK4: Discussion Question,What would we need?
23,2/4/2024,,4,ORG7074,WK4: Discussion,"Based rev of lit, post the pdf of one article, Discuss "
24,2/4/2024,,4,ORG7074,WK4- Assignment #2,Develop a Literature Review on Global Climate Change
25,2/5/2024,,4,RES3500,WK4: Practice Activity 4,Problem Background pt2 Synthesis of Lit
26,2/6/2024,,4,ORG7074,WK4: Discussion Response,Peer Respond
27,2/8/2024,,4,CAS502,A5: Project Step 5,"Coding prog, 2+ issues completed, changes?, revision"
28,2/11/2024,,5,ORG7074,WK5: Discussion,MIT state of supply chain item and discuss 
29,2/12/2024,,5,RES3500,WK5: Discussion 4,What is the Conceptual/Theoretical Lit?
30,2/12/2024,,5,RES3500,WK5: Practice Activity 5,Draft conceptual/theoretical framework
31,2/13/2024,,5,ORG7074,WK5: Discussion response,Respond to Peer
32,2/13/2024,,4,CAS502,A6: Project Step 6,Code Quality Tools and services
33,2/14/2024,,5,RES3500,WK5: Discussion 4 Respond,Respond to Peer
34,2/18/2024,,5,CAS502,A7: Project Step 7,Write Unit Test to ensure code quality
35,2/18/2024,,6,ORG7074,WK6: Discussion,PDF article of interest
36,2/18/2024,,6,ORG7074,WK6: Discussion Response,Peer Respond
37,2/18/2024,,6,ORG7074,WK6: Assignment #3,Paper lit rev water and natural resources
38,2/19/2024,,5,RES3500,WK6: Discussion 5 ,What is Methodological Lit
39,2/21/2024,,5,RES3500,WK6: Discussion 5 Response,Peer Respond
