ITEM#,DATE,WK#,COURSE,ASSIGNMENT NAME,DESCRIPTION,DONE
1,13-Jan,1,CAS502,A1: P1: Read Articles ,Statement that stood out ,Y
2,13-Jan,1,CAS502,A1: P1: Find Statement,Write why interestingâ€¦answer questions,Y
3,13-Jan,1,CAS502,A1: P2: Watch a Video,Two recs and what could have done differently,Y
4,15-Jan,2,CAS502,WK2: Automated Ideas,Brainstorm what to Automate,Y
5,15-Jan,2,CAS502,WK2: Team Name Title,Group Project 1,Y
6,18-Jan,2,CAS502,WK2 A2: FinPrj Description,"Challenges, and communication plan. Computational task",Y
7,20-Jan,2,ORG7074,WK2: Discussion,Post PDF Brief Overview of topic and article,Y
8,20-Jan,2,ORG7074,WK2: Discussion Response,Peer Response 1,Y
9,20-Jan,2,ORG7074,WK2: Discussion Response ,Peer Response 2,Y
10,22-Jan,2,RES3500,WK2: Discussion 2,Self-Assessment of Writing,Y
11,23-Jan,2,RES3500,WK2: Discussion Response,Peer Response 1,
12,23-Jan,2,RES3500,WK2: Discussion Response ,Peer Response 2,
13,21-Jan,2,RES3500,WK2: Practice Acty 2,Prospectus -the Introduction,Y
14,24-Jan,3,CAS502,A3: GitHub Repository ,"Put project material, create issues, commit files",Y
15,27-Jan,3,ORG7074,WK3: Discussion,Innovation systems thinking and circular,Y
16,28-Jan,3,RES3500,WK3: D3 Videoconference,Introduction funnel,Y
17,28-Jan,3,RES3500,WK3: Practice Activity 3,Problem Background pt1 Rev of Lit Metrix document,Y
18,29-Jan,3,ORG7074,WK3: Discussion Response,Peer Respond,Y
19,31-Jan,3,CAS502,A4: Project Step 4,"Implementation Plan: Lang., packages, Code, progress",Y
20,1-Feb,4,CAS502,WK4: Assignment 4,Dependencies and Implementation,Y
21,1-Feb,4,CAS502,WK4: Discussion  Question,Issues when Reusing Software,Y
22,1-Feb,4,CAS502,WK4: Discussion Question,What would we need?,Y
23,3-Feb,4,ORG7074,WK4: Discussion,"Based rev of lit, post the pdf of one article, Discuss ",Y
24,3-Feb,4,ORG7074,WK4- Assignment #2,Develop a Literature Review on Global Climate Change,N
25,4-Feb,4,RES3500,WK4: Practice Activity 4,Problem Background pt2 Synthesis of Lit,N
26,5-Feb,4,ORG7074,WK4: Discussion Response,Peer Respond,N
27,7-Feb,4,CAS502,A5: Project Step 5,"Coding prog, 2+ issues completed, changes?, revision",N
28,10-Feb,5,ORG7074,WK5: Discussion,MIT state of supply chain item and discuss ,N
29,11-Feb,5,RES3500,WK5: Discussion 4,What is the Conceptual/Theoretical Lit?,N
30,11-Feb,5,RES3500,WK5: Practice Activity 5,Draft conceptual/theoretical framework,N
31,12-Feb,5,ORG7074,WK5: Discussion response,Respond to Peer,N
32,12-Feb,4,CAS502,A6: Project Step 6,Code Quality Tools and services,N
33,13-Feb,5,RES3500,WK5: Discussion 4 Respond,Respond to Peer,N
34,17-Feb,5,CAS502,A7: Project Step 7,Write Unit Test to ensure code quality,N
35,17-Feb,6,ORG7074,WK6: Discussion,PDF article of interest,N
36,17-Feb,6,ORG7074,WK6: Discussion Response,Peer Respond,N
37,17-Feb,6,ORG7074,WK6: Assignment #3,Paper lit rev water and natural resources,N
38,18-Feb,5,RES3500,WK6: Discussion 5 ,What is Methodological Lit,N
39,20-Feb,5,RES3500,WK6: Discussion 5 Response,Peer Respond,N
